epoch,count,committers
13546,1,1
13551,1,1
13553,1,1
13588,3,1
13590,2,1
13591,8,1
13592,3,1
13593,3,1
13594,2,2
13597,3,1
13598,5,1
13599,5,3
13600,4,1
13607,1,1
13612,1,1
13613,2,1
13614,1,1
13615,2,1
13619,1,1
13620,5,2
13628,4,2
13633,1,1
13640,1,1
13642,2,2
13643,2,2
13646,1,1
13647,2,1
13648,2,1
13650,1,1
13651,1,1
13654,1,1
13655,1,1
13661,6,1
13662,3,2
13663,4,2
13664,6,1
13672,1,1
13676,1,1
13678,2,2
13679,2,2
13681,1,1
13683,2,2
13684,10,3
13689,3,2
13690,5,2
13691,6,3
13692,3,2
13696,1,1
13697,2,1
13699,5,2
13703,2,2
13704,3,2
13705,1,1
13707,2,2
13709,1,1
13713,2,1
13714,1,1
13717,2,2
13718,1,1
13719,3,2
13720,2,2
13724,3,3
13727,3,2
13731,3,2
13734,3,2
13738,1,1
13739,1,1
13741,1,1
13749,1,1
13751,2,2
13752,1,1
13753,1,1
13755,2,2
13756,3,1
13758,1,1
13759,1,1
13761,1,1
13762,1,1
13773,4,2
13775,1,1
13776,2,2
13782,1,1
13787,6,2
13788,1,1
13789,1,1
13790,2,2
13796,2,2
13797,2,1
13802,1,1
13804,2,2
13810,1,1
13815,3,2
13823,6,1
13824,8,1
13825,3,1
13826,1,1
13829,1,1
13830,2,2
13833,1,1
13835,1,1
13845,3,1
13846,4,1
13852,1,1
13864,1,1
13867,2,2
13884,1,1
13888,1,1
13901,1,1
13902,1,1
13907,3,2
13916,2,1
13920,2,1
13940,1,1
13945,1,1
13947,1,1
13951,1,1
13955,1,1
13956,4,1
13962,1,1
13963,1,1
13964,3,1
13971,1,1
13976,1,1
13986,5,1
13991,3,1
13997,1,1
13998,3,1
13999,1,1
14003,6,1
14006,3,1
14008,2,1
14011,2,1
14013,1,1
14014,9,2
14017,1,1
14018,3,2
14020,1,1
14027,2,1
14028,2,2
14042,3,1
14043,3,1
14044,1,1
14046,1,1
14048,1,1
14050,1,1
14052,2,1
14055,4,1
14060,2,2
14069,1,1
14075,1,1
14078,1,1
14083,1,1
14097,1,1
14103,1,1
14105,1,1
14116,1,1
14119,1,1
14125,2,1
14131,1,1
14132,1,1
14137,1,1
14141,1,1
14144,2,1
14146,3,2
14148,1,1
14151,3,1
14153,6,3
14154,2,2
14159,2,1
14160,3,2
14161,1,1
14162,1,1
14164,1,1
14167,1,1
14168,1,1
14173,1,1
14176,2,1
14182,1,1
14189,1,1
14193,1,1
14194,3,2
14195,3,1
14199,2,1
14200,1,1
14201,1,1
14202,1,1
14318,2,1
14320,1,1
14383,1,1
14409,1,1
14413,1,1
14426,1,1
14451,5,1
14461,3,2
14465,1,1
14469,2,1
14470,2,1
14472,2,1
14474,1,1
14482,2,1
14483,2,2
14487,1,1
14488,1,1
14495,1,1
14507,1,1
14522,1,1
14532,2,2
14538,1,1
14539,1,1
14556,1,1
14557,1,1
14558,2,2
14559,2,2
14564,1,1
14588,1,1
14589,1,1
14624,1,1
14627,1,1
14655,1,1
14669,2,1
14671,1,1
14676,1,1
14677,1,1
14678,1,1
14707,1,1
14724,1,1
14761,3,2
14769,1,1
14781,1,1
14784,2,2
14787,1,1
14789,2,1
14818,3,2
14819,1,1
14822,1,1
14886,1,1
14907,1,1
14911,6,1
14915,1,1
14921,1,1
14922,2,2
14928,1,1
14929,3,2
14956,2,1
14957,1,1
15012,1,1
15021,3,1
15054,1,1
15055,1,1
15064,7,1
15065,1,1
15069,1,1
15072,1,1
15082,1,1
15103,4,2
15110,1,1
15113,1,1
15117,2,2
15124,1,1
15131,1,1
15134,4,2
15135,3,2
15139,1,1
15150,1,1
15154,1,1
15162,1,1
15163,1,1
15174,1,1
15176,1,1
15200,1,1
15222,1,1
15254,1,1
15260,1,1
15265,1,1
15266,1,1
15280,1,1
15293,1,1
15301,1,1
15309,1,1
15315,1,1
15347,1,1
15373,1,1
15390,16,1
15397,1,1
15415,1,1
15417,1,1
15488,1,1
15489,1,1
15497,1,1
15519,1,1
15539,1,1
15545,2,1
15587,6,1
15609,5,1
15625,1,1
15642,2,1
15650,9,1
15665,2,1
15677,1,1
15806,1,1
15807,2,2
15867,1,1
15936,1,1
15939,3,1
15946,2,1
15952,3,1
15953,1,1
15966,7,1
15973,3,2
15974,2,1
15991,1,1
15992,1,1
16008,6,1
16013,8,1
16040,1,1
16058,1,1
16132,1,1
16141,2,1
16156,5,1
16168,1,1
16170,1,1
16191,1,1
16214,2,1
16217,1,1
16224,1,1
16240,1,1
16252,1,1
16253,1,1
16254,2,1
16263,1,1
16265,1,1
16269,1,1
16274,5,2
16294,1,1
16295,1,1
16299,2,1
16309,1,1
16322,2,1
16324,1,1
16328,3,1
16338,1,1
16344,1,1
16362,1,1
16363,1,1
16439,2,1
16454,2,1
16567,1,1
16596,2,1
16637,1,1
16665,1,1
16728,5,3
16807,1,1
16917,2,1
16945,5,1
16960,1,1
17023,2,1
17030,1,1
17071,4,2
17099,1,1
17134,2,1
17141,1,1
17142,1,1
17163,1,1
17173,1,1
17177,2,1
17184,1,1
17193,2,1
17206,2,1
17265,1,1
17268,2,1
17272,2,1
17285,1,1
17293,1,1
17310,1,1
17321,1,1
17330,1,1
17337,1,1
17340,2,1
17398,1,1
17416,1,1
17418,1,1
17419,1,1
17420,1,1
17425,1,1
17435,1,1
17436,1,1
17483,2,1
17489,1,1
17498,1,1
17518,1,1
17519,2,1
17546,1,1
17547,2,1
17554,1,1
17558,1,1
17559,1,1
17592,39,1
17612,3,1
17637,1,1
17653,1,1
17654,1,1
17660,1,1
17665,14,1
17667,3,1
17672,2,1
17694,13,1
17695,2,1
17721,1,1
17728,1,1
17752,1,1
17753,1,1
17756,6,1
17763,1,1
17765,1,1
17787,1,1
17800,2,1
17840,16,1
17846,1,1
17847,4,2
17848,1,1
17869,1,1
17885,1,1
17917,1,1
17918,1,1
17935,1,1
17936,1,1
17939,1,1
17963,1,1
17967,1,1
17973,1,1
17974,2,1
17980,1,1
17982,2,2
17989,2,1
17996,1,1
18002,5,1
18003,1,1
18009,3,2
18010,1,1
18014,2,1
18015,2,2
18018,1,1
18022,1,1
18028,1,1
18029,3,2
18031,2,2
18032,1,1
18035,1,1
18039,1,1
18042,1,1
18050,2,1
18052,9,1
18054,1,1
18057,3,2
18064,5,1
18066,1,1
18068,11,1
18073,1,1
18074,2,1
18079,5,1
18084,1,1
18086,6,2
18089,2,2
18091,1,1
18092,1,1
18095,5,3
18096,1,1
18098,1,1
18108,1,1
18109,1,1
18111,11,1
18114,2,1
18115,11,2
18121,6,1
18126,1,1
18127,4,1
18130,1,1
18133,1,1
18136,5,1
18137,3,2
18140,1,1
18142,1,1
18143,1,1
18151,1,1
18152,1,1
18166,1,1
18168,1,1
18170,12,2
18173,2,1
18175,1,1
18178,1,1
18179,2,1
18180,1,1
18183,2,2
18190,1,1
18193,13,2
18197,1,1
18198,1,1
18207,2,1
18212,1,1
18213,2,2
18215,3,2
18218,3,1
18220,2,1
18242,1,1
18246,6,1
18252,1,1
18267,1,1
18274,1,1
18288,1,1
18289,4,2
18292,2,1
18304,2,2
18311,8,2
18315,3,1
18327,4,1
18329,4,1
18330,4,2
18331,1,1
18334,11,1
18344,1,1
18347,2,2
18352,1,1
18353,1,1
18354,1,1
18359,6,1
18368,2,1
18371,1,1
18372,3,2
18387,16,2
18388,11,3
18389,8,3
18394,2,1
18395,5,1
18396,2,2
18400,1,1
18401,2,1
18402,2,1
18408,1,1
18409,2,1
18410,2,2
18414,41,1
18417,7,2
18418,2,1
18420,2,1
18425,1,1
18427,2,1
18429,1,1
18430,2,1
18439,4,1
18440,2,1
18443,2,2
18450,1,1
18452,4,2
18455,1,1
18457,10,2
18458,2,1
18459,5,3
18464,2,2
18466,1,1
18467,5,2
18471,8,2
18478,4,1
18480,2,1
18483,2,1
18484,2,1
18497,6,1
18498,4,1
18500,4,2
18501,4,1
18505,3,2
18506,3,1
18508,2,1
18509,4,2
18511,8,1
18522,4,1
18528,1,1
18542,2,1
18551,2,1
18562,2,1
18564,2,1
18565,2,1
18587,1,1
18591,1,1
18612,1,1
18637,1,1
18640,2,1
18652,1,1
18655,1,1
18662,1,1
18680,1,1
18696,1,1
18716,1,1
18717,2,1
18724,1,1
18726,1,1
18730,1,1
18736,3,2
18746,1,1
18751,1,1
18761,2,1
18766,2,1
18773,1,1
18779,1,1
18781,1,1
18787,1,1
18802,2,2
18806,1,1
18810,1,1
18816,1,1
18827,2,1
18829,1,1
18830,1,1
18834,2,1
18842,1,1
18843,2,1
18844,2,2
18850,2,1
18854,2,1
18857,3,1
18858,1,1
18871,1,1
18887,3,2
18888,1,1
18892,5,1
18899,1,1
18900,1,1
18913,6,1
18918,1,1
18920,7,3
18928,1,1
18938,3,1
18939,4,1
18954,1,1
19011,1,1
19039,3,2
19041,1,1
19087,1,1
19108,2,1
19110,1,1
19131,1,1
19145,2,2
19151,2,2
19153,1,1
19165,1,1
19172,2,1
19177,3,1
19178,2,1
19180,1,1
19193,1,1
19194,1,1
19200,1,1
19205,1,1
19206,5,1
19208,1,1
19212,2,2
19218,1,1
19219,2,1
19222,1,1
19247,1,1
19250,1,1
19251,2,1
19264,1,1
19269,1,1
19278,1,1
19283,1,1
19285,1,1
19299,1,1
19305,1,1
19306,1,1
19313,1,1
19319,2,1
19326,1,1
19327,4,1
19331,3,2
19341,2,1
19362,1,1
19363,1,1
19367,1,1
19368,1,1
19373,1,1
19387,2,1
19390,1,1
19395,1,1
19401,2,1
19403,2,1
19404,1,1
19408,3,2
19411,1,1
19418,2,1
19430,3,2
19431,1,1
19432,1,1
19444,1,1
19446,2,1
19451,2,2
19460,1,1
19464,1,1
19474,1,1
19506,1,1
19508,1,1
19516,1,1
19521,2,2
19537,1,1
